code_qp,nom_qp,nom_commune,pop_mun,pop_com_qp,pop_com,ind_jeune,tx_tot_et,tx_f,tx_f_et,percou,pmimp,part_chomprinc,decuc_q2,decuc_d1,decuc_d9,disp_q2,disp_d1,disp_d9,tp60,brev,a,tx_tot_empl,tx_f_empl,tx_et_empl,tx_tot_eprec,tx_f_eprec,tx_et_eprec,abcde,abcde_f,abcde_h,abc_capbep,abc_bac,abc_supbac,ec_mat,ec_elem,ec_elem_pri,coll,coll_pri,nbetab,ens_sante,serv_par,serv_tot,auto_ent
QP030008,Némausus-Jonquilles - Haute Magaille - Oliviers,Nîmes,3374,37833,150564,2.7,21.6,47.5,19.8,2548,23.7,9.1,7774,140,20794,12070,7030,20655,51.3,67.9,902,42.4,34.2,32,26,31.6,,571,255,316,163,106,99,3,2,0,1,0,79,3,12,35,10
QP030009,Sabatot - Centre Ancien,Saint-Gilles,3272,3272,13641,1.2,29.2,48.3,27.5,1804,14.3,10.2,7504,1054,19272,11349,6193,19803,57,70.1,758,35.9,27.6,27.4,30.2,28,44.2,814,325,489,216,104,81,3,3,0,0,0,167,28,49,78,7
QP030010,Escanaux - Coronelle - Citadelle - Vigan Braquet,Bagnols-sur-Cèze,4006,4006,18218,1.4,23.9,52.6,23.6,2547,16.5,8.2,7196,262,18922,11694,7086,19617,54.8,74,1167,31.1,25.3,27.8,33,29.4,46.6,574,215,359,203,95,68,2,3,1,2,0,69,8,23,30,9
QP030011,Centre Ville,Pont-Saint-Esprit,1353,1353,10393,1.4,15,48.9,11.2,1019,28,,10404,0,26084,13435,7066,24625,42.7,55.8,513,47.5,43.8,31.9,28.5,34.9,,264,127,137,97,52,27,2,2,1,2,1,142,28,42,65,0
QP030012,La Moulinelle,Beaucaire,1941,6315,16036,1.5,17.4,52.4,17.7,0,19.8,,8816,1488,20100,12518,8116,20432,48.5,66.9,0,39.8,28,,22.1,28.9,,305,137,168,96,52,27,1,1,0,1,0,28,0,1,9,0
QP030013,Centre Ville,Beaucaire,4374,6315,16036,1.5,24.6,51.1,21.8,3161,22.8,9.4,9446,742,22784,12754,6960,22426,46.9,61.7,1487,41.8,35.8,34.2,25.5,25.8,40,1669,763,906,412,301,132,2,3,0,2,1,378,76,103,181,11
QP030014,L'Ecusson,Saint-Ambroix,1234,1234,3247,0.4,2.6,57.2,3.3,807,,,9850,0,22556,13274,7631,22901,43.1,57.1,476,36.6,28.8,43.3,21.5,20.5,0,239,100,139,97,44,29,1,2,1,2,1,185,36,56,87,0
QP030015,Les Costières,Vauvert,2734,2734,11195,1.8,16.6,54,15.6,1614,14.3,10,8096,864,18138,12102,7902,19000,53.1,72.2,644,35.1,25.6,29.9,25.2,,47.9,545,260,285,188,103,51,2,2,0,0,0,73,20,25,30,5
QP030016,Centre Ville - Arboux,La Grand-Combe,2421,3433,5176,0.8,12.3,54,11.1,1512,17.9,7.5,9640,0,21044,12859,7702,21129,46.2,60.6,764,31,29.2,22,23.9,25.3,33.3,407,170,237,192,62,52,1,2,1,2,1,181,59,75,96,9
QP030017,Trescol - La Levade,La Grand-Combe,1012,3433,5176,0.9,19.1,49.7,19.3,496,,,9160,0,22116,12439,7333,21245,49.2,61.9,213,30.4,28.3,19.6,16.8,22.5,21.8,103,34,69,53,11,14,1,1,0,0,0,0,0,0,0,0
QP030018,Quartier Prioritaire D'Uzès,Uzès,1261,1261,8573,1.8,16.8,54.1,16.8,800,28.5,,10482,2616,25114,13604,8467,24270,39.6,58.6,313,51.2,49.9,29,17.4,19.9,39.5,196,90,106,80,33,35,1,0,0,2,1,46,4,9,17,10
QP031001,Saint Jean,Muret,2938,4886,24725,2.4,17,54.1,15.7,2452,26.5,9.4,10072,592,22280,13848,8078,21937,39.1,59.4,1063,50,45.6,49,27.3,30.8,39.2,586,319,267,226,120,78,0,2,1,1,0,96,17,30,44,9
QP031002,Centre Ouest,Muret,1948,4886,24725,1.3,15.4,50.2,11.6,1434,32.1,,11370,0,27434,14147,7357,26314,37.5,54.6,722,52.3,47.3,40.4,26.6,37.2,31.7,352,175,177,114,79,58,0,2,1,1,1,289,70,101,169,6
QP031003,Coeur De Ville,Saint-Gaudens,1357,1357,11241,0.8,,56.6,,1155,29.8,,11840,0,26596,14030,8342,25586,37.2,53.1,740,51.6,44.4,42,24.5,22.2,,332,153,179,120,67,44,0,1,1,3,1,505,94,142,286,6
QP031004,Barradels,Blagnac,1613,1613,22969,1.9,17.1,53.5,18.3,1173,25.5,,9278,104,23226,13281,8686,22253,41.7,63.9,501,50.7,45.1,39.5,19.7,16.8,24.9,275,138,137,87,59,43,0,0,0,0,0,20,1,4,7,0
QP031005,Val D'Aran - Poitou - Pyrénées,Colomiers,3011,4179,38302,1.5,18.5,52.4,18.7,1858,31.6,,12073,491,26146,14616,8073,25650,34.7,51.3,784,53.1,48,31.8,19.1,20.5,,385,200,185,132,65,77,1,1,0,2,0,141,46,62,88,9
QP031006,Pradettes,Toulouse,1962,55543,458298,,25.1,47.8,22.6,1638,25.1,12.5,8864,0,23588,13182,7370,22940,43.9,63.6,938,48.7,44.8,39.5,30,30.6,46.4,432,198,234,111,108,98,1,1,0,1,1,105,20,31,52,5
QP031007,Grand Mirail,Toulouse,31691,55543,458298,1.7000000000000002,25.2,51.6,24.7,26884,21.4,9,7976,30,20992,12512,7666,21193,48.5,69.1,11351,38.1,32.5,33.5,25.7,24.8,33.5,6723,3120,3603,1803,1415,1233,18,15,0,5,0,1167,192,243,471,122
QP031008,Arènes,Toulouse,2127,55543,458298,,14.8,48.8,15.2,1329,38.1,,13022,1376,30520,15344,7394,28583,31.7,47.7,850,42.4,38,34.1,24.7,29,26.2,322,144,178,69,74,103,0,0,0,1,1,89,23,31,49,17
QP031009,Bourbaki,Toulouse,1169,55543,458298,,19.9,53.9,17.2,904,,,8586,1560,19674,13058,8423,20469,43.3,67.2,373,36.1,41.1,36.5,,,,218,126,92,52,55,40,1,1,0,0,0,25,1,1,9,0
QP031010,Empalot,Toulouse,5502,55543,458298,1.5,24.5,49.5,23.6,4355,21.7,9.5,8794,0,21412,13055,7604,21580,42.9,63.7,2372,42.5,38.2,37.4,28.5,29.2,38.9,1257,566,691,316,265,294,3,2,0,0,0,161,22,33,70,21
QP031011,Les Izards - La Vache,Toulouse,2747,55543,458298,1.1,24.7,48,19.7,2204,26.8,8.8,10022,410,24360,13386,8360,23747,41.3,61.9,1088,43.9,42.1,33.1,20.9,17.6,,584,253,331,168,113,120,1,1,0,1,0,207,22,41,81,17
QP031012,Cépière Beauregard,Toulouse,1549,55543,458298,,,,,960,23.5,,8264,6,22786,13383,8342,22324,41.6,65.1,470,41.7,34.1,45.3,,22.2,,233,99,134,69,51,41,1,1,0,0,0,57,16,16,30,0
QP031013,Saint Exupéry,Toulouse,1288,55543,458298,,,55.1,,984,27.7,,10942,2318,23970,14265,8879,23311,35.8,54.8,455,62,58.5,,19.8,14.9,,268,144,124,90,51,66,1,1,0,0,0,25,3,7,11,0
QP031014,Soupetard,Toulouse,2021,55543,458298,1.5,18.1,54,20.1,1670,31.2,,10648,638,24782,13707,7867,23607,40.1,57.3,718,57.8,56.1,44.8,15.9,16.2,,455,233,222,121,82,117,0,0,0,0,0,47,6,14,21,3
QP031015,Rangueil,Toulouse,3311,55543,458298,4.3,24.7,50.8,24.3,0,30.9,,10752,1476,27140,13674,8091,25143,37.9,57.4,0,22,25.2,24.2,38.7,34.3,29.3,173,92,81,38,39,56,0,0,0,0,0,17,1,3,11,4
QP031016,En Jacca,Colomiers,1168,4179,38302,2.3,23.6,51.3,24.3,875,25.6,,10432,50,24182,13303,8143,23609,41.5,61.4,408,46.8,40.8,,21.1,26.7,,175,78,97,62,35,28,1,0,0,0,0,15,0,1,5,4
QP031017,Vivier Maçon,Cugnaux,1059,1059,16638,1.8,20.5,57.1,21.4,753,,,10812,1180,21996,13403,8300,21959,39.7,59,307,62.6,55.1,46.1,17.4,,,194,94,100,60,46,40,1,1,0,0,0,19,1,4,10,0
QP031018,Négreneys,Toulouse,1014,55543,458298,,,49.2,,821,24,,9423,1412,25440,12786,7267,24112,45.7,62.5,517,56.3,53.6,53.7,24,,,268,116,152,64,65,71,1,0,0,0,0,41,2,5,25,5
QP031019,La Gloire,Toulouse,1162,55543,458298,1.7000000000000002,21.9,53.5,19.7,844,27.8,,10448,956,22442,13408,8602,23151,36,58.2,388,57.1,52.6,54.2,22.3,14.7,36.9,205,108,97,55,43,48,1,0,0,0,0,22,1,1,8,3
QP032001,Grand Garros,Auch,1939,1939,21962,2,24.9,56.6,25.2,1763,14.2,9.9,6560,0,17368,11583,6763,18889,56.2,76.2,812,35.6,33.5,38.3,37.4,35,59.3,322,160,162,114,60,27,3,1,0,0,0,45,8,12,20,0
